# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
931000 -10.3067 -6
932000 -11.4777 -6
933000 -11.1002 -6
934000 -10.365 -6
935000 -8.74681 -6
936000 -5.71011 -6
937000 -3.04824 -6
938000 -2.82807 -6
939000 -5.25894 -6
940000 -8.4739 -6
941000 -10.4677 -6
942000 -11.638 -6
943000 -10.7328 -6
944000 -8.63157 -6
945000 -5.32788 -6
946000 -2.73264 -6
947000 -2.85604 -6
948000 -5.57784 -6
949000 -8.77982 -6
950000 -10.7333 -6
951000 -11.4345 -6
952000 -10.6786 -6
953000 -9.64611 -6
954000 -7.18531 -6
955000 -4.07721 -6
956000 -2.585 -6
957000 -3.90144 -6
958000 -6.93141 -6
959000 -9.40585 -6
960000 -10.3119 -6
961000 -9.93477 -6
962000 -7.97603 -6
963000 -4.85061 -6
964000 -2.70413 -6
965000 -3.2652 -6
966000 -6.10344 -6
967000 -9.03235 -6
968000 -10.4977 -6
969000 -11.0532 -6
970000 -11.6174 -6
971000 -11.121 -6
972000 -11.3426 -6
973000 -11.5255 -6
974000 -11.45 -6
975000 -11.6917 -6
976000 -11.5526 -6
977000 -11.6679 -6
978000 -11.6612 -6
979000 -11.2643 -6
980000 -11.5948 -6
