# Time-averaged data for fix myat1
# TimeStep v_nH
1000 38
2000 38
3000 38
4000 38
5000 38
6000 38
7000 38
8000 38
9000 38
10000 38
11000 38
12000 38
13000 38
14000 38
15000 38
16000 38
17000 38
18000 38
19000 38
20000 38
21000 38
22000 38
23000 38
24000 38
25000 38
26000 38
27000 38
28000 38
29000 38
30000 38
31000 38
32000 38
33000 38
34000 38
35000 38
36000 38
37000 38
38000 38
39000 38
40000 38
41000 38
42000 38
43000 38
44000 38
45000 38
46000 38
47000 38
48000 38
49000 38
50000 38
51000 38
52000 38
53000 38
54000 38
55000 38
56000 38
57000 38
58000 38
59000 38
60000 38
61000 38
62000 38
63000 38
64000 38
65000 38
66000 38
67000 38
68000 38
69000 38
70000 38
71000 38
72000 38
73000 38
74000 38
75000 38
76000 38
77000 38
78000 38
79000 38
80000 38
81000 38
82000 38
83000 38
84000 38
85000 38
86000 38
87000 38
88000 38
89000 38
90000 38
91000 38
92000 38
93000 38
94000 38
95000 38
96000 38
97000 38
98000 38
99000 38
100000 38
101000 123
102000 168.1
103000 188.1
104000 189.2
105000 192.8
106000 189.2
107000 206.6
108000 207.4
109000 199.7
110000 210.5
111000 195.6
112000 195.9
113000 208.4
114000 213
115000 212.6
116000 205.5
117000 202.8
118000 215.8
119000 207.7
120000 207.4
121000 218.5
122000 206.8
123000 198.6
124000 206.1
125000 209.5
126000 206.4
127000 214.7
128000 209.4
129000 205.8
130000 204.8
131000 203.1
132000 205.4
133000 203.1
134000 202.7
135000 193.4
136000 211.5
137000 214.7
138000 209.2
139000 201.8
140000 206
141000 215.3
142000 231.6
143000 220.7
144000 220.7
145000 196.9
146000 206.1
147000 207.5
148000 207.3
149000 207.8
150000 197.8
