# Time-averaged data for fix myat1
# TimeStep v_nH
1000 41
2000 41
3000 41
4000 41
5000 41
6000 41
7000 41
8000 41
9000 41
10000 41
11000 41
12000 41
13000 41
14000 41
15000 41
16000 41
17000 41
18000 41
19000 41
20000 41
21000 41
22000 41
23000 41
24000 41
25000 41
26000 41
27000 41
28000 41
29000 41
30000 41
31000 41
32000 41
33000 41
34000 41
35000 41
36000 41
37000 41
38000 41
39000 41
40000 41
41000 41
42000 41
43000 41
44000 41
45000 41
46000 41
47000 41
48000 41
49000 41
50000 41
51000 41
52000 41
53000 41
54000 41
55000 41
56000 41
57000 41
58000 41
59000 41
60000 41
61000 41
62000 41
63000 41
64000 41
65000 41
66000 41
67000 41
68000 41
69000 41
70000 41
71000 41
72000 41
73000 41
74000 41
75000 41
76000 41
77000 41
78000 41
79000 41
80000 41
81000 41
82000 41
83000 41
84000 41
85000 41
86000 41
87000 41
88000 41
89000 41
90000 41
91000 41
92000 41
93000 41
94000 41
95000 41
96000 41
97000 41
98000 41
99000 41
100000 41
101000 192.5
102000 341.2
103000 445.4
104000 500.9
105000 541.3
106000 574.1
107000 626.3
108000 662.9
109000 693.6
110000 718.2
111000 732.6
112000 743.7
113000 775.2
114000 801.9
115000 816.9
116000 829.4
117000 849.4
118000 860.5
119000 863.5
120000 874.4
121000 890.4
122000 895
123000 889.3
124000 903.5
125000 912.2
126000 906.5
127000 928.6
128000 943.2
129000 941.5
130000 942
131000 940
132000 936.7
133000 933.4
134000 926.9
135000 931.9
136000 937.8
137000 936.5
138000 935.2
139000 933.2
140000 934.2
141000 938.2
142000 942.7
143000 938.2
144000 935.8
145000 930.9
146000 940
147000 932
148000 934.9
149000 942.8
150000 935.7
