# Time-averaged data for fix myat1
# TimeStep v_nH
1000 41
2000 41
3000 41
4000 41
5000 41
6000 41
7000 41
8000 41
9000 41
10000 41
11000 41
12000 41
13000 41
14000 41
15000 41
16000 41
17000 41
18000 41
19000 41
20000 41
21000 41
22000 41
23000 41
24000 41
25000 41
26000 41
27000 41
28000 41
29000 41
30000 41
31000 41
32000 41
33000 41
34000 41
35000 41
36000 41
37000 41
38000 41
39000 41
40000 41
41000 41
42000 41
43000 41
44000 41
45000 41
46000 41
47000 41
48000 41
49000 41
50000 41
51000 41
52000 41
53000 41
54000 41
55000 41
56000 41
57000 41
58000 41
59000 41
60000 41
61000 41
62000 41
63000 41
64000 41
65000 41
66000 41
67000 41
68000 41
69000 41
70000 41
71000 41
72000 41
73000 41
74000 41
75000 41
76000 41
77000 41
78000 41
79000 41
80000 41
81000 41
82000 41
83000 41
84000 41
85000 41
86000 41
87000 41
88000 41
89000 41
90000 41
91000 41
92000 41
93000 41
94000 41
95000 41
96000 41
97000 41
98000 41
99000 41
100000 41
101000 142.6
102000 206.8
103000 239.7
104000 243.9
105000 246
106000 244.5
107000 256
108000 256.1
109000 253.6
110000 258.7
111000 256.7
112000 247
113000 254.4
114000 261.1
115000 277.9
116000 278.4
117000 273.6
118000 284
119000 266.6
120000 265.5
121000 270.5
122000 266.4
123000 258.2
124000 265.6
125000 261
126000 253.5
127000 276.3
128000 266
129000 268.5
130000 269.9
131000 266.4
132000 259.4
133000 263.6
134000 264.3
135000 258.3
136000 263.7
137000 259.6
138000 256.1
139000 263.8
140000 260.5
141000 272.3
142000 292.4
143000 275.3
144000 266.7
145000 254.8
146000 259.4
147000 269.6
148000 266.8
149000 267.2
150000 262
