# Time-averaged data for fix myat1
# TimeStep v_nH
1000 74
2000 74
3000 74
4000 74
5000 74
6000 74
7000 74
8000 74
9000 74
10000 74
11000 74
12000 74
13000 74
14000 74
15000 74
16000 74
17000 74
18000 74
19000 74
20000 74
21000 74
22000 74
23000 74
24000 74
25000 74
26000 74
27000 74
28000 74
29000 74
30000 74
31000 74
32000 74
33000 74
34000 74
35000 74
36000 74
37000 74
38000 74
39000 74
40000 74
41000 74
42000 74
43000 74
44000 74
45000 74
46000 74
47000 74
48000 74
49000 74
50000 74
51000 74
52000 74
53000 74
54000 74
55000 74
56000 74
57000 74
58000 74
59000 74
60000 74
61000 74
62000 74
63000 74
64000 74
65000 74
66000 74
67000 74
68000 74
69000 74
70000 74
71000 74
72000 74
73000 74
74000 74
75000 74
76000 74
77000 74
78000 74
79000 74
80000 74
81000 74
82000 74
83000 74
84000 74
85000 74
86000 74
87000 74
88000 74
89000 74
90000 74
91000 74
92000 74
93000 74
94000 74
95000 74
96000 74
97000 74
98000 74
99000 74
100000 74
101000 219.3
102000 346.9
103000 423.5
104000 462.4
105000 477.1
106000 480.1
107000 511.4
108000 522.5
109000 532.2
110000 539.9
111000 551.7
112000 554.4
113000 573.7
114000 595.9
115000 603.5
116000 599.8
117000 597.9
118000 606.3
119000 607.5
120000 605.9
121000 619.5
122000 616.3
123000 604.4
124000 619.3
125000 613.2
126000 606
127000 625.8
128000 632.5
129000 613
130000 609.4
131000 607
132000 609.9
133000 615.5
134000 611.7
135000 607.7
136000 610.5
137000 617.8
138000 619.6
139000 609.6
140000 607.9
141000 611.7
142000 630.6
143000 628.3
144000 628.8
145000 618.4
146000 606.2
147000 591.6
148000 604.3
149000 613.2
150000 607
