# Time-averaged data for fix myat1
# TimeStep v_nH
1000 80
2000 80
3000 80
4000 80
5000 80
6000 80
7000 80
8000 80
9000 80
10000 80
11000 80
12000 80
13000 80
14000 80
15000 80
16000 80
17000 80
18000 80
19000 80
20000 80
21000 80
22000 80
23000 80
24000 80
25000 80
26000 80
27000 80
28000 80
29000 80
30000 80
31000 80
32000 80
33000 80
34000 80
35000 80
36000 80
37000 80
38000 80
39000 80
40000 80
41000 80
42000 80
43000 80
44000 80
45000 80
46000 80
47000 80
48000 80
49000 80
50000 80
51000 80
52000 80
53000 80
54000 80
55000 80
56000 80
57000 80
58000 80
59000 80
60000 80
61000 80
62000 80
63000 80
64000 80
65000 80
66000 80
67000 80
68000 80
69000 80
70000 80
71000 80
72000 80
73000 80
74000 80
75000 80
76000 80
77000 80
78000 80
79000 80
80000 80
81000 80
82000 80
83000 80
84000 80
85000 80
86000 80
87000 80
88000 80
89000 80
90000 80
91000 80
92000 80
93000 80
94000 80
95000 80
96000 80
97000 80
98000 80
99000 80
100000 80
101000 192.6
102000 278
103000 310.7
104000 333.7
105000 319.5
106000 303.7
107000 309.5
108000 319.7
109000 316.9
110000 312.2
111000 317.7
112000 318.7
113000 311.9
114000 312.2
115000 308.9
116000 310.4
117000 324.5
118000 323.5
119000 332.3
120000 334.2
121000 327
122000 313.9
123000 294.7
124000 305.4
125000 320
126000 323.9
127000 307.8
128000 308
129000 307.6
130000 321.5
131000 319.6
132000 314.4
133000 330.8
134000 325.8
135000 314.3
136000 329.5
137000 329.7
138000 315.7
139000 317.6
140000 311.6
141000 311.5
142000 309.8
143000 323.3
144000 329.1
145000 318.2
146000 324.2
147000 317.6
148000 303.3
149000 313.7
150000 315.2
