# Time-averaged data for fix myat1
# TimeStep v_nH
1000 40
2000 40
3000 40
4000 40
5000 40
6000 40
7000 40
8000 40
9000 40
10000 40
11000 40
12000 40
13000 40
14000 40
15000 40
16000 40
17000 40
18000 40
19000 40
20000 40
21000 40
22000 40
23000 40
24000 40
25000 40
26000 40
27000 40
28000 40
29000 40
30000 40
31000 40
32000 40
33000 40
34000 40
35000 40
36000 40
37000 40
38000 40
39000 40
40000 40
41000 40
42000 40
43000 40
44000 40
45000 40
46000 40
47000 40
48000 40
49000 40
50000 40
51000 40
52000 40
53000 40
54000 40
55000 40
56000 40
57000 40
58000 40
59000 40
60000 40
61000 40
62000 40
63000 40
64000 40
65000 40
66000 40
67000 40
68000 40
69000 40
70000 40
71000 40
72000 40
73000 40
74000 40
75000 40
76000 40
77000 40
78000 40
79000 40
80000 40
81000 40
82000 40
83000 40
84000 40
85000 40
86000 40
87000 40
88000 40
89000 40
90000 40
91000 40
92000 40
93000 40
94000 40
95000 40
96000 40
97000 40
98000 40
99000 40
100000 40
101000 119.8
102000 152.4
103000 148
104000 154.5
105000 158.5
106000 164.6
107000 149.7
108000 154.4
109000 167.4
110000 147.1
111000 147.9
112000 164.1
113000 161.3
114000 166.4
115000 156.6
116000 153.1
117000 159.8
118000 157.6
119000 159.1
120000 162.1
121000 168
122000 158
123000 143.8
124000 153.7
125000 153.7
126000 161.3
127000 158.8
128000 159.1
129000 161
130000 158.4
131000 165.9
132000 156.9
133000 157.8
134000 145.5
135000 150.5
136000 164.2
137000 171.6
138000 161
139000 156.6
140000 163.2
141000 166.4
142000 155
143000 161
144000 170.7
145000 162.7
146000 164.4
147000 164.7
148000 154.6
149000 169
150000 158.8
