# Time-averaged data for fix myat1
# TimeStep v_nH
1000 8
2000 8
3000 8
4000 8
5000 8
6000 8
7000 8
8000 8
9000 8
10000 8
11000 8
12000 8
13000 8
14000 8
15000 8
16000 8
17000 8
18000 8
19000 8
20000 8
21000 8
22000 8
23000 8
24000 8
25000 8
26000 8
27000 8
28000 8
29000 8
30000 8
31000 8
32000 8
33000 8
34000 8
35000 8
36000 8
37000 8
38000 8
39000 8
40000 8
41000 8
42000 8
43000 8
44000 8
45000 8
46000 8
47000 8
48000 8
49000 8
50000 8
51000 8
52000 8
53000 8
54000 8
55000 8
56000 8
57000 8
58000 8
59000 8
60000 8
61000 8
62000 8
63000 8
64000 8
65000 8
66000 8
67000 8
68000 8
69000 8
70000 8
71000 8
72000 8
73000 8
74000 8
75000 8
76000 8
77000 8
78000 8
79000 8
80000 8
81000 8
82000 8
83000 8
84000 8
85000 8
86000 8
87000 8
88000 8
89000 8
90000 8
91000 8
92000 8
93000 8
94000 8
95000 8
96000 8
97000 8
98000 8
99000 8
100000 8
101000 27.4
102000 27.4
103000 28.8
104000 27.4
105000 26.7
106000 26.5
107000 31.4
108000 25.2
109000 27.1
110000 23.9
111000 27.6
112000 27.3
113000 30.4
114000 27
115000 32.5
116000 28.7
117000 29.5
118000 30
119000 28
120000 26.6
121000 28.3
122000 24.4
123000 23.6
124000 28.8
125000 26.3
126000 27.6
127000 27.1
128000 28.2
129000 27.6
130000 27.7
131000 27.4
132000 31
133000 26.9
134000 26.3
135000 25
136000 27.4
137000 25.2
138000 25.6
139000 25.8
140000 26.5
141000 28.5
142000 31.7
143000 27.6
144000 28
145000 27.9
146000 26.2
147000 26.8
148000 25.9
149000 28
150000 28.2
