# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
4531000 11.7159 7.5
4532000 11.1044 7.5
4533000 10.2675 7.5
4534000 9.31954 7.5
4535000 8.18036 7.5
4536000 6.98033 7.5
4537000 5.96547 7.5
4538000 5.3701 7.5
4539000 5.33293 7.5
4540000 5.85904 7.5
4541000 6.82222 7.5
4542000 8.00271 7.5
4543000 9.15761 7.5
4544000 10.1216 7.5
4545000 10.9115 7.5
4546000 11.6419 7.5
4547000 11.4684 7.5
4548000 10.8683 7.5
4549000 10.2659 7.5
4550000 9.48535 7.5
4551000 8.47407 7.5
4552000 7.33213 7.5
4553000 6.27627 7.5
4554000 5.54578 7.5
4555000 5.32001 7.5
4556000 5.66215 7.5
4557000 6.49398 7.5
4558000 7.61589 7.5
4559000 8.77102 7.5
4560000 9.74578 7.5
4561000 10.4766 7.5
4562000 11.0781 7.5
4563000 11.6702 7.5
4564000 11.4092 7.5
4565000 10.7484 7.5
4566000 10.0974 7.5
4567000 9.244 7.5
4568000 8.15144 7.5
4569000 6.9771 7.5
4570000 5.97357 7.5
4571000 5.37922 7.5
4572000 5.33822 7.5
4573000 5.85608 7.5
4574000 6.79272 7.5
4575000 7.91619 7.5
4576000 8.99585 7.5
4577000 9.88863 7.5
4578000 10.5994 7.5
4579000 11.2675 7.5
4580000 11.6813 7.5
